Tester ID/Tester Station:RGT-3120
Computer Name           :DESKTOP-USUQBTQ
Handler/Prober Name     :UF2000
Temperature: 023.8C
Production ID           :JBS LLD 71V
Test Program Name       :C:\POWORLD\RGT.Net\Recipes\LLD_71V_Eng_Run_04302026.TestPg
Device Name             :JBS LLD 71V
Lot ID                  :N64S03A03
Wafer ID                :N64S03A03
Probe Card No           :11-02626B
Load Board No           :CP5
SFT                     :
OPERATOR                :A000697
Test Start Date         :Wed May 13 12:03:20 2026
Test End Date           :Wed May 13 12:16:48 2026
Fail Retest Rate        :
Sequence All ON         :ON
PreLoad Pat(Time)       :
Craft Current User      :
Craft Version           :
OutPut TDO              :C:\DataLog\Report\LLD_71V_Eng_Run_04302026\N64S03A_OD75um
Run Card No             :N64S03A_OD75um
Rom Code                :



 Sample   Pass   Pass%   Fail   Fail%
    549     28     5.1    521    94.9

,,,,,,Contact2[Step1],VZ[Step2],VZ[Step3],VZ[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],IR0[Step4],Calculate[Step4],VFSDS[Step5],VZ[Step6],VZ[Step6],Calculate[Step6],IR[Step7],IR[Step7],Calculate[Step7],VFSDS[Step8],IR[Step9],VZ[Step10]
,,,,,Test Item,B2_Contact2(mV),B3_VZ0@10mA(V)>=5V(V),B4_VZ0@10mA(V)>=68V(V),B5_VZ0@10mA(V)<=74V(V),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),IR0@VZ0-0.8V(uA)(uA),B6_IR0@VZ0-0.8V(uA)(uA),B7_DIR0(nA)(nA),B8_VF0@50mA(mV)(mV),B9_VZ1@50mA(V)(V),B10_VZ2@5mA(V)(V),B11_DVZ(mV)(mV),B12_IR2_1@56V(uA)(uA),B13_IR2_1_1@56V(uA)(uA),B14_DIR2_1(uA)(uA),B15_VF1@260mA(mV)(mV),B16_IR2_2@56V(uA)(uA),B17_VZ3@30mA(V)(V)
,,,,,Fail Count,3,1,0,484,15,1,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8
,,,,,Fail Yield,0.55%,0.18%,0.00%,88.16%,2.73%,0.18%,0.36%,0.55%,0.00%,0.18%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,0.00%,0.00%,0.00%,0.00%,1.46%

,,,,,Bias1,IF = 5mA,IR = 10mA,IR = 10mA,IR = 10mA,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,T# Result VAK = 4,Calculate = –,IS = 50mA,IR = 50mA,IR = 5mA,Calculate = –,VAK = 56V,VAK = 56V,Calculate = –,IS = 260mA,VAK = 56V,IR = 30mA
,,,,,Bias2,V-Clamp = 1V,VMAX = 90V,VMAX = 90V,VMAX = 90V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Offset Val = -0.8V,Parameter(A) Test No. = 5,V-Clamp = 0V,VMAX = 90V,VMAX = 90V,Parameter(A) Test No. = 29,,,Parameter(A) Test No. = 32,V-Clamp = 0V,,VMAX = 90V
,,,,,Bias3,,,,,,,,,,,,,,,,,,,,,,,,,,Parameter(B) Test No. = 6,,,,Parameter(B) Test No. = 28,,,Parameter(B) Test No. = 31,,,
,,,,,Bias4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bias5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Force Time,400us,2ms,2ms,2ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,20ms,0.0000us,1ms,2ms,2ms,0.0000us,20ms,20ms,0.0000us,1ms,20ms,2ms
