
Tester ID/Tester Station: 3381-P-XX-020B-001003/
Computer Name           : 3380P-ATE-1003
Handler/Prober Name     : (Temperature: 022.8 C)
Production ID           : 50A_550mV_4U
Test Program Name       : D:\Project\LLD\LLD_8_Site\LLDC_3380P_AOR09_260402\LLDC_3380P_AOR09_211206.pln
Device Name             :
Lot ID                  : NK13374
Wafer ID                : NK13374-01
Probe Card No           :
Load Board No           :
SFT                     :
OPERATOR                :
Test Start Date         : Fri May 08 11:52:52 2026
Test End Date           : Fri May 08 11:55:04 2026
Fail Retest Rate        : 0.000000 % (Gross:568, Sample:568)
Sequence All ON         : NO
PreLoad Pat(Time)       :
Craft Current User      : app
Craft Version           : CRAFT_3380_2.60-SP3
OutPut TDO              :  WaferMapTDO SummaryTDO DataLogTDO HistogramTDO
Run Card No             :
Rom Code                :
                                       


 Sample   Pass   Pass%   Fail   Fail%
   542   529    97.60%      13     2.40%

,,,,,,Contact(1),Contact(2),Contact(3),Contact(4),VZ0(5),VZ0(6),VZ0(7),IR0(8),DIR0(9),VF0(10),VZ1(11),VZ2(12),DVZ(13),IR2_1(14),IR2_1_1(15),DIR2_1(16),VF1(17),IR2_2(18),VZ3(19),
,,,,,,V_Force_VF_50mA,Ohm_Force,V_Sense_VF_50mA,Ohm_Sense,VZ0(V)>=5V,VZ0(V)>=20V,VZ0(V)<=24V,IR0(uA),DIR0(nA),VF0(mV),VZ1(V),VZ2(V),DVZ(mV),IR2_1(uA),IR2_1_1(uA),DIR2_1(uA),VF1(mV),IR2_2(uA),VZ3(V),

,,,,,,2000,10,2000,10,,,24,45,50,275,24.5,24,400,35,35,2000,320,35,24,
,,,,,,0,0,0,0,5,20,20,0,0,195,20,19.5,0,0,0,-2000,240,0,20,
Serial#,Site#,Bin#,SBin#,XAdr,YAdr,m, ,m, , , , , , , , , , , , ,m, , , ,
0,3,1,1,18,8,354.216,2.985,330.756,3.375,22.247,22.247,22.247,22.641,4.101,236.133,22.456,22.395,60.791,13.137,12.998,-138.709,281.562,12.974,22.67,
1,4,1,1,15,9,318.611,3.081,353.959,3.204,22.224,22.224,22.224,22.627,3.338,237.744,22.42,22.361,58.96,9.27,9.186,-83.261,283.192,9.172,22.633,
2,5,1,1,16,9,334.454,2.996,354.838,3.095,22.112,22.112,22.112,22.642,3.433,237.091,22.316,22.254,61.798,11.964,11.85,-114.194,282.527,11.835,22.533,
3,6,1,1,17,9,356.677,3.415,324.326,2.607,22.046,22.046,22.046,22.656,4.959,237.743,22.239,22.18,59.372,10.216,10.083,-132.101,283.194,10.056,22.457,
4,7,1,1,18,9,342.343,3.055,334.675,2.798,22.236,22.236,22.236,22.671,4.005,236.677,22.437,22.378,59.326,11.962,11.826,-135.556,282.116,11.807,22.656,
5,0,1,1,19,8,380.874,3.53,381.224,3.387,22.08,22.08,22.08,22.64,6.008,238.359,22.305,22.23,75.073,11.165,11.033,-132.695,283.804,11.008,22.544,
6,1,1,1,20,8,375.388,3.334,340.44,3.244,22.203,22.203,22.203,22.636,6.58,236.959,22.434,22.356,77.316,11.089,10.916,-173.154,282.387,10.889,22.681,
7,2,1,1,21,8,310.829,3.877,364.137,3.193,22.07,22.07,22.07,22.661,6.104,237.671,22.286,22.212,73.334,7.9,7.703,-196.749,283.085,7.667,22.53,
8,3,1,1,22,8,367.827,3.233,345.991,3.673,22.269,22.269,22.269,22.631,5.627,236.145,22.502,22.426,75.714,12.448,12.307,-140.987,281.571,12.29,22.744,
9,4,1,1,19,9,326.307,3.326,359.981,3.411,22.227,22.227,22.227,22.647,5.531,237.706,22.448,22.375,72.693,10.872,10.729,-142.95,283.132,10.7,22.688,
10,5,1,1,20,9,345.79,3.241,364.115,3.298,22.113,22.113,22.113,22.643,5.722,237.08,22.343,22.268,75.256,12.217,12.022,-194.965,282.515,11.989,22.59,
11,6,1,1,21,9,369.859,3.708,333.323,2.81,22.053,22.053,22.053,22.659,6.676,237.743,22.273,22.2,72.922,10.631,10.424,-206.801,283.171,10.383,22.518,
12,7,1,1,22,9,353.73,3.3,343.966,3.004,22.268,22.268,22.268,22.673,5.817,236.67,22.49,22.419,71.869,12.156,12.003,-152.902,282.099,11.983,22.731,
13,0,1,1,23,8,369.437,3.274,370.467,3.14,22.091,22.091,22.091,22.634,3.338,238.373,22.305,22.237,67.932,10.614,10.496,-118.312,283.815,10.471,22.531,
14,4,1,1,23,9,313.411,3.081,348.208,3.19,22.252,22.252,22.252,22.653,2.766,237.69,22.46,22.395,65.323,11.243,11.109,-134.12,283.132,11.082,22.687,
15,5,1,1,24,9,333.388,2.994,352.335,3.067,22.121,22.121,22.121,22.642,3.91,237.073,22.34,22.27,70.587,12.051,11.897,-153.676,282.516,11.872,22.574,
16,6,1,1,25,9,359.895,3.446,324.597,2.582,22.054,22.054,22.054,22.639,3.815,237.762,22.26,22.195,64.774,8.954,8.82,-133.986,283.2,8.793,22.487,
17,7,1,1,26,9,347.257,3.053,338.094,2.776,22.237,22.237,22.237,22.635,3.052,236.72,22.448,22.387,60.974,9.285,9.158,-127.164,282.158,9.131,22.671,
18,0,1,1,27,10,363.071,3.148,365.031,3.046,22.088,22.088,22.088,22.623,3.815,238.365,22.296,22.232,63.904,9.945,9.828,-117.055,283.809,9.803,22.517,
19,4,1,1,27,11,307.91,2.953,342.107,3.06,22.234,22.234,22.234,22.636,2.956,237.697,22.438,22.376,61.569,10.141,10.019,-122.766,283.138,9.993,22.658,
20,5,1,1,28,11,328.481,2.866,347.285,2.94,22.121,22.121,22.121,22.625,3.815,237.092,22.335,22.271,63.675,10.794,10.647,-146.316,282.531,10.622,22.561,
21,6,1,1,29,11,354.009,3.302,319.118,2.451,22.053,22.053,22.053,22.626,3.338,237.774,22.253,22.196,56.717,8.025,7.895,-130.294,283.218,7.858,22.47,
22,0,1,1,23,10,377.963,3.523,378.878,3.401,22.125,22.125,22.125,22.659,5.531,238.331,22.348,22.272,75.989,12.517,12.419,-98.105,283.769,12.404,22.585,
23,1,1,1,24,10,372.798,3.334,336.9,3.223,22.238,22.238,22.238,22.651,7.057,236.932,22.467,22.388,78.461,12.179,12.043,-136.005,282.364,12.028,22.713,
