
Tester ID/Tester Station: 3381-P-XX-020B-001003/
Computer Name           : 3380P-ATE-1003
Handler/Prober Name     : (Temperature: 022.8 C)
Production ID           : 50A_550mV_4U
Test Program Name       : D:\Project\LLD\LLD_8_Site\LLDC_3380P_AOR09_260402\LLDC_3380P_AOR09_211206.pln
Device Name             :
Lot ID                  : NK13374
Wafer ID                : NK13374-02
Probe Card No           :
Load Board No           :
SFT                     :
OPERATOR                :
Test Start Date         : Fri May 08 11:55:42 2026
Test End Date           : Fri May 08 11:57:59 2026
Fail Retest Rate        : 0.000000 % (Gross:568, Sample:568)
Sequence All ON         : NO
PreLoad Pat(Time)       :
Craft Current User      : app
Craft Version           : CRAFT_3380_2.60-SP3
OutPut TDO              :  WaferMapTDO SummaryTDO DataLogTDO HistogramTDO
Run Card No             :
Rom Code                :
                                       


 Sample   Pass   Pass%   Fail   Fail%
   542   535    98.71%       7     1.29%

,,,,,,Contact(1),Contact(2),Contact(3),Contact(4),VZ0(5),VZ0(6),VZ0(7),IR0(8),DIR0(9),VF0(10),VZ1(11),VZ2(12),DVZ(13),IR2_1(14),IR2_1_1(15),DIR2_1(16),VF1(17),IR2_2(18),VZ3(19),
,,,,,,V_Force_VF_50mA,Ohm_Force,V_Sense_VF_50mA,Ohm_Sense,VZ0(V)>=5V,VZ0(V)>=20V,VZ0(V)<=24V,IR0(uA),DIR0(nA),VF0(mV),VZ1(V),VZ2(V),DVZ(mV),IR2_1(uA),IR2_1_1(uA),DIR2_1(uA),VF1(mV),IR2_2(uA),VZ3(V),

,,,,,,2000,10,2000,10,,,24,45,50,275,24.5,24,400,35,35,2000,320,35,24,
,,,,,,0,0,0,0,5,20,20,0,0,195,20,19.5,0,0,0,-2000,240,0,20,
Serial#,Site#,Bin#,SBin#,XAdr,YAdr,m, ,m, , , , , , , , , , , , ,m, , , ,
0,3,1,1,18,8,351.741,2.982,328.896,3.394,22.035,22.035,22.035,22.658,2.67,236.106,22.253,22.188,64.819,14.629,14.441,-188.771,281.538,14.405,22.477,
1,4,1,1,15,9,318.897,3.11,351.684,3.178,21.96,21.96,21.96,22.635,2.003,237.729,22.166,22.104,61.249,9.981,9.902,-79.054,283.171,9.889,22.384,
2,5,1,1,16,9,333.974,2.993,355.017,3.104,21.864,21.864,21.864,22.647,4.005,237.081,22.076,22.013,63.354,12.437,12.336,-100.618,282.52,12.323,22.3,
3,6,1,1,17,9,360.832,3.522,323.56,2.609,21.826,21.826,21.826,22.665,3.815,237.735,22.031,21.968,63.171,11.044,10.923,-121.509,283.178,10.899,22.258,
4,7,1,1,18,9,341.356,3.062,333.488,2.796,22.022,22.022,22.022,22.682,3.529,236.661,22.231,22.169,62.805,12.842,12.728,-114.34,282.099,12.713,22.455,
5,0,1,1,19,8,377.977,3.519,381.432,3.433,21.849,21.849,21.849,22.658,6.008,238.341,22.07,21.996,74.066,12.633,12.489,-144.083,283.774,12.461,22.306,
6,1,1,1,20,8,372.498,3.324,337.651,3.234,21.948,21.948,21.948,22.654,5.15,236.942,22.176,22.099,76.813,12.566,12.365,-201.147,282.366,12.334,22.421,
7,2,1,1,21,8,307.732,3.856,361.655,3.182,21.843,21.843,21.843,22.676,5.054,237.649,22.054,21.982,72.327,9.149,8.948,-201.596,283.068,8.91,22.296,
8,3,1,1,22,8,365.188,3.227,338.48,3.553,22.036,22.036,22.036,22.647,3.433,236.124,22.269,22.193,75.302,13.735,13.595,-140.1,281.548,13.578,22.508,
9,4,1,1,19,9,326.3,3.353,356.827,3.371,21.999,21.999,21.999,22.66,3.91,237.691,22.219,22.147,71.869,11.945,11.794,-151.028,283.123,11.763,22.457,
10,5,1,1,20,9,344.274,3.238,362.921,3.299,21.866,21.866,21.866,22.654,5.436,237.067,22.096,22.021,74.707,13.221,13.01,-210.74,282.508,12.972,22.343,
11,6,1,1,21,9,369.029,3.719,331.75,2.806,21.816,21.816,21.816,22.67,4.196,237.728,22.037,21.965,72.144,11.598,11.391,-207.43,283.157,11.349,22.282,
12,7,1,1,22,9,351.834,3.296,341.914,2.996,22.023,22.023,22.023,22.686,4.864,236.655,22.246,22.174,71.915,13.277,13.124,-153.384,282.083,13.104,22.486,
13,0,1,1,23,8,366.468,3.269,371.053,3.214,21.858,21.858,21.858,22.649,2.861,238.341,22.069,22.002,66.879,11.968,11.856,-112.175,283.786,11.835,22.292,
14,4,1,1,23,9,311.93,3.104,344.11,3.151,22.011,22.011,22.011,22.666,4.196,237.67,22.22,22.154,66.101,12.367,12.266,-100.686,283.107,12.249,22.443,
15,5,1,1,24,9,330.527,2.994,350.332,3.074,21.894,21.894,21.894,22.659,2.861,237.049,22.111,22.043,68.344,13.426,13.307,-118.648,282.491,13.292,22.341,
16,6,1,1,25,9,361.204,3.544,321.629,2.579,21.827,21.827,21.827,22.658,3.433,237.728,22.032,21.967,65.094,10.498,10.382,-116.259,283.171,10.361,22.256,
17,7,1,1,26,9,342.743,3.054,333.967,2.771,22.002,22.002,22.002,22.658,2.384,236.675,22.213,22.15,62.576,11.131,10.993,-138.417,282.12,10.967,22.434,
18,0,1,1,27,10,360.124,3.138,365.496,3.104,21.844,21.844,21.844,22.638,3.91,238.338,22.053,21.99,63.263,11.26,11.13,-130.036,283.783,11.099,22.273,
19,4,1,1,27,11,305.035,2.95,338.051,3.033,21.985,21.985,21.985,22.653,4.482,237.666,22.191,22.13,61.661,11.559,11.428,-131.113,283.106,11.401,22.411,
20,5,1,1,28,11,325.534,2.864,344.739,2.944,21.877,21.877,21.877,22.641,3.815,237.062,22.091,22.028,62.805,12.224,12.065,-159.32,282.502,12.037,22.317,
21,6,1,1,29,11,355.775,3.385,316.672,2.446,21.822,21.822,21.822,22.642,3.719,237.746,22.02,21.964,56.122,9.341,9.2,-140.83,283.194,9.161,22.235,
22,0,1,1,23,10,375.774,3.511,379.479,3.43,21.881,21.881,21.881,22.668,5.531,238.323,22.103,22.029,74.341,13.491,13.337,-153.744,283.756,13.31,22.34,
23,1,1,1,24,10,369.136,3.316,334.861,3.237,22.01,22.01,22.01,22.671,7.057,236.915,22.237,22.162,75.211,13.924,13.696,-228.422,282.331,13.661,22.484,
